Part_Number,Part_Name,Category,Current_Stock,Unit_Cost,Lead_Time_Days,Monthly_Demand
A0001,Turbine Blade,Landing Gear,155,4988,19,79
A0002,Cockpit Display,Engine,112,3448,12,28
A0003,Compressor Blade,Avionics,473,1939,6,86
A0004,Electrical Harness,Engine,159,2872,12,52
A0005,Wing Fastener,Avionics,368,2224,16,73
A0006,Navigation Unit,Electronics,354,4636,29,74
A0007,Brake Assembly,Hydraulics,458,1876,30,69
A0008,Navigation Unit,Hydraulics,189,2382,30,100
A0009,Radar Module,Landing Gear,450,864,27,7
A0010,Fuel Control Valve,Avionics,426,2221,14,80
A0011,Hydraulic Actuator,Electronics,214,4430,21,89
A0012,Brake Assembly,Landing Gear,146,1014,5,10
A0013,Compressor Blade,Electronics,87,2361,11,94
A0014,Cockpit Display,Hydraulics,415,2977,23,46
A0015,Turbine Blade,Engine,408,4213,6,52
A0016,Engine Filter,Fuel System,226,4279,14,31
A0017,Landing Gear Bolt,Hydraulics,224,1910,28,8
A0018,Fuel Control Valve,Electronics,377,3880,14,40
A0019,Brake Assembly,Fuel System,323,1577,30,31
A0020,Hydraulic Pump,Landing Gear,327,2476,10,9
A0021,Fuel Control Valve,Electronics,264,3980,24,12
A0022,Navigation Unit,Hydraulics,329,752,14,50
A0023,Brake Assembly,Engine,241,1184,26,49
A0024,Fuel Control Valve,Hydraulics,494,510,20,28
A0025,Compressor Blade,Landing Gear,401,4045,13,41
A0026,Compressor Blade,Hydraulics,51,4684,19,80
A0027,Engine Filter,Engine,330,1354,10,52
A0028,Hydraulic Pump,Hydraulics,309,1705,17,11
A0029,Landing Gear Bolt,Fuel System,470,1156,15,58
A0030,Pressure Sensor,Avionics,25,713,13,69
A0031,Fuel Control Valve,Fuel System,468,4440,29,76
A0032,Cockpit Display,Hydraulics,330,1042,11,17
A0033,Turbine Blade,Fuel System,291,1718,15,45
A0034,Landing Gear Bolt,Landing Gear,420,890,9,88
A0035,Fuel Control Valve,Electronics,97,4755,24,95
A0036,Fuel Control Valve,Engine,458,1067,19,49
A0037,Cockpit Display,Avionics,329,2506,5,75
A0038,Hydraulic Pump,Engine,426,4151,28,92
A0039,Avionics Sensor,Hydraulics,382,1365,7,52
A0040,Engine Filter,Fuel System,203,2720,25,86
A0041,Wing Fastener,Fuel System,352,3237,10,86
A0042,Engine Filter,Landing Gear,174,2018,29,72
A0043,Radar Module,Engine,75,1854,29,69
A0044,Compressor Blade,Landing Gear,411,4601,6,47
A0045,Wing Fastener,Landing Gear,384,3217,25,66
